Date,Open,High,Low,Close,Adj Close,Volume
2018-02-14,111.669998,111.900002,108.760002,109.110001,106.443062,7702700
2018-02-15,109.529999,111.040001,108.720001,110.970001,108.257599,5125200
2018-02-16,111.059998,111.699997,109.760002,111.059998,108.345398,5578500
2018-02-20,110.959999,110.980003,109.339996,109.480003,106.804024,3835500
2018-02-21,109.349998,109.839996,107.940002,108.000000,105.360184,4501900
2018-02-22,108.330002,109.970001,108.019997,109.260002,106.589394,5394700
2018-02-23,109.360001,110.050003,108.570000,109.680000,106.999130,4760400
2018-02-26,110.120003,111.169998,110.029999,110.940002,108.228333,5355400
2018-02-27,111.190002,112.080002,110.709999,110.889999,108.179543,6385800
2018-02-28,111.000000,111.650002,109.680000,109.730003,107.047913,4638900
2018-03-01,109.209999,109.879997,107.239998,108.120003,106.256783,6896300
2018-03-02,107.910004,109.320000,107.900002,109.040001,107.160927,4903600
2018-03-05,108.459999,109.599998,108.019997,109.430000,107.544205,3781700
2018-03-06,109.360001,109.620003,108.440002,109.580002,107.691620,3380800
2018-03-07,108.889999,110.059998,108.610001,109.839996,107.947128,4612600
2018-03-08,110.029999,112.129997,109.580002,112.080002,110.148537,5437700
2018-03-09,112.269997,112.570000,111.639999,112.540001,110.600609,3680600
2018-03-12,112.500000,113.089996,112.080002,112.750000,110.806992,4509600
2018-03-13,113.269997,113.900002,112.720001,113.599998,111.642342,4590000
2018-03-14,113.570000,113.769997,112.230003,112.610001,110.669411,4055700
2018-03-15,112.400002,113.250000,111.660004,111.989998,110.060089,3906800
2018-03-16,112.330002,113.199997,111.580002,111.639999,109.716118,7730800
2018-03-19,111.650002,111.989998,110.050003,110.360001,108.458183,4216700
2018-03-20,110.750000,111.300003,109.830002,109.900002,108.006104,3319000
2018-03-21,109.889999,110.080002,108.529999,108.739998,106.866096,3867600
2018-03-22,108.449997,109.669998,107.800003,107.940002,106.079880,4325500
2018-03-23,108.089996,108.739998,105.940002,106.150002,104.320732,4873300
2018-03-26,106.680000,107.470001,106.089996,106.809998,104.969353,4119400
